#separator:tab
#html:false
#columns:Front	Back	Tags
der Name	the name	lesson2::nomen lesson2::essentials
der Reisepass	the passport	lesson2::nomen
der Flughafen	the airport	lesson2::nomen lesson2::essentials
der Hafen	the port	lesson2::nomen
die Sicherheit	the security	lesson2::nomen
das Flugzeug	the aeroplane	lesson2::nomen
der Zug	the train	lesson2::nomen lesson2::essentials
das Schiff	the ship	lesson2::nomen
das Fahrrad	the bike	lesson2::nomen
das Motorrad	the motorbike	lesson2::nomen
der Bus	the bus	lesson2::nomen lesson2::essentials
der Ort	the place	lesson2::nomen
die Sekunde	the second	lesson2::nomen
die Minute	the minute	lesson2::nomen lesson2::essentials
die Stunde	the hour	lesson2::nomen lesson2::essentials
der Tag	the day	lesson2::nomen lesson2::essentials
die Woche	the week	lesson2::nomen lesson2::essentials
der Monat	the month	lesson2::nomen lesson2::essentials
das Jahr	the year	lesson2::nomen lesson2::essentials
der Montag	Monday	lesson2::nomen lesson2::essentials
der Dienstag	Tuesday	lesson2::nomen lesson2::essentials
der Mittwoch	Wednesday	lesson2::nomen lesson2::essentials
der Donnerstag	Thursday	lesson2::nomen lesson2::essentials
der Freitag	Friday	lesson2::nomen lesson2::essentials
der Samstag	Saturday	lesson2::nomen lesson2::essentials
der Sonntag	Sunday	lesson2::nomen lesson2::essentials
der Frühling	the spring	lesson2::nomen
der Sommer	the summer	lesson2::nomen
der Herbst	the fall	lesson2::nomen
der Winter	the winter	lesson2::nomen
der Januar	January	lesson2::nomen
der Februar	February	lesson2::nomen
der März	March	lesson2::nomen
der April	April	lesson2::nomen
der Mai	May	lesson2::nomen
der Juni	June	lesson2::nomen
der Juli	July	lesson2::nomen
der August	August	lesson2::nomen
der September	September	lesson2::nomen
der Oktober	October	lesson2::nomen
der November	November	lesson2::nomen
der Dezember	December	lesson2::nomen
die Uhrzeit	the time	lesson2::nomen
das Jahrzehnt	the decade	lesson2::nomen
das Jahrhundert	the century	lesson2::nomen
der Supermarkt	the grocery store / the supermarket	lesson2::nomen lesson2::essentials
das Krankenhaus	the hospital	lesson2::nomen
die Bank	the bank	lesson2::nomen
das Hotel	the hotel	lesson2::nomen lesson2::essentials
die Bar	the bar	lesson2::nomen
die Apotheke	the pharmacy	lesson2::nomen
der Strand	the beach	lesson2::nomen
das Restaurant	the restaurant	lesson2::nomen lesson2::essentials
die Bäckerei	the bakery	lesson2::nomen
die Bushaltestelle	the bus station	lesson2::nomen
die Kirche	the church	lesson2::nomen
das Kino	the cinema	lesson2::nomen
die Tankstelle	the gas station	lesson2::nomen
das Museum	the museum	lesson2::nomen
die Polizeistation	the police station	lesson2::nomen
