#separator:tab
#html:false
#columns:Front	Back	Tags
in der Nähe von	near	lesson2::praepositionen
gegenüber von	across from	lesson2::praepositionen
zwischen	between	lesson2::praepositionen
über	about / above / across / over	lesson2::praepositionen
nach	after	lesson2::praepositionen
gegen	against	lesson2::praepositionen
unter	among / below / under	lesson2::praepositionen
an / bei	at	lesson2::praepositionen
vor	before	lesson2::praepositionen
hinter	behind	lesson2::praepositionen
bei	by	lesson2::praepositionen
während	during / while	lesson2::praepositionen
für	for	lesson2::praepositionen
von	from / of	lesson2::praepositionen
in	in / into	lesson2::praepositionen
auf	on	lesson2::praepositionen
durch	through	lesson2::praepositionen
zu / nach	to	lesson2::praepositionen
mit	with	lesson2::praepositionen
