#separator:tab
#html:false
#columns:Front	Back	Tags
erwerben	to acquire	lesson2::verben
investieren	to invest	lesson2::verben
analysieren	to analyze	lesson2::verben
bewerten	to evaluate	lesson2::verben
übernehmen	to acquire / to take over	lesson2::verben
wachsen	to grow	lesson2::verben
steigen	to increase / to rise	lesson2::verben
entwickeln	to develop	lesson2::verben
finanzieren	to finance	lesson2::verben
verhandeln	to negotiate	lesson2::verben
integrieren	to integrate	lesson2::verben
bewältigen	to manage / to overcome	lesson2::verben
optimieren	to optimize	lesson2::verben
stärken	to strengthen	lesson2::verben
reduzieren	to reduce	lesson2::verben
erzielen	to achieve / to generate	lesson2::verben
nutzen	to use / to leverage	lesson2::verben
erkennen	to identify / to recognize	lesson2::verben
entscheiden	to decide	lesson2::verben
umsetzen	to implement	lesson2::verben
